ENEMY,ROWID,CH1Pos,CH2Pos,CH3Pos,CH4Pos,CH5Pos
0,3,1,3,4,0,2
0,4,3,0,2,1,4
0,8,2,3,4,0,1
0,12,1,3,4,2,0
0,16,3,4,0,2,1
0,17,0,1,2,4,3
0,24,2,4,1,0,3
0,32,0,4,1,2,3
0,34,2,4,1,0,3
0,38,0,4,3,2,1
0,42,2,4,3,0,1
0,45,2,3,4,1,0
0,46,4,0,2,1,3
0,48,3,1,2,0,4
0,49,1,3,4,2,0
0,50,1,0,3,2,4
0,51,2,0,1,3,4
0,52,4,2,0,1,3
0,53,4,0,3,2,1
0,54,0,4,1,3,2
0,56,3,1,2,0,4
0,58,4,3,0,2,1
0,62,2,4,0,1,3
0,66,1,0,3,4,2
0,67,1,2,0,4,3
0,70,0,3,4,2,1
0,71,4,3,2,1,0
0,73,2,4,3,0,1
0,74,1,4,3,0,2
0,76,4,0,3,1,2
0,77,2,4,1,0,3
0,78,2,1,4,0,3
0,79,0,2,3,4,1
0,83,1,0,3,2,4
0,87,0,4,2,1,3
0,88,0,4,3,1,2
0,89,3,2,4,0,1
0,91,1,2,4,0,3
0,97,2,4,1,3,0
0,98,4,2,0,1,3
0,100,0,1,2,4,3
0,101,1,3,2,4,0
0,104,3,4,1,2,0
0,112,2,3,1,0,4
0,115,2,3,0,4,1
0,116,2,0,4,3,1
0,117,4,0,2,3,1
0,119,2,4,3,0,1
0,123,3,1,0,4,2
0,127,1,4,3,0,2
0,128,2,0,4,1,3
0,129,2,1,3,0,4
0,132,3,2,0,1,4
0,139,0,2,1,3,4
0,141,2,3,1,4,0
0,143,1,2,0,3,4
0,145,2,3,4,1,0
0,146,0,1,4,2,3
0,149,1,4,3,0,2
0,157,4,2,3,0,1
0,158,4,2,0,3,1
0,160,4,3,0,1,2
0,162,2,4,3,0,1
0,164,0,2,3,4,1
0,165,3,0,1,2,4
0,173,3,4,1,2,0
0,175,4,3,0,1,2
0,176,2,3,1,4,0
0,180,2,3,4,1,0
0,181,3,4,0,1,2
0,184,1,2,3,4,0
0,185,4,3,2,1,0
0,186,0,1,2,4,3
0,191,2,4,0,3,1
0,192,0,1,2,3,4
0,194,1,0,2,3,4
0,204,1,2,4,3,0
0,209,3,4,1,0,2
0,210,1,3,2,0,4
0,213,2,0,3,1,4
0,216,2,0,1,3,4
0,217,0,3,2,4,1
0,225,0,3,1,4,2
0,228,2,0,1,4,3
0,230,3,4,1,0,2
0,231,3,2,1,4,0
0,232,3,2,4,0,1
0,233,2,1,0,3,4
0,235,3,1,2,4,0
0,238,1,3,4,2,0
0,239,2,0,3,1,4
0,246,0,1,2,4,3
0,248,0,4,2,1,3
0,250,1,4,3,2,0
0,252,3,0,2,4,1
0,258,1,3,0,2,4
0,259,1,3,4,2,0
0,262,1,3,4,2,0
0,266,0,1,2,4,3
0,269,1,4,0,3,2
0,272,3,0,2,1,4
0,277,2,1,3,4,0
0,279,4,1,0,2,3
0,280,4,3,0,1,2
0,281,0,4,3,2,1
0,282,4,3,0,1,2
0,286,1,4,3,0,2
0,287,1,2,4,0,3
0,290,1,4,0,2,3
0,291,0,1,4,3,2
0,292,3,2,0,4,1
0,294,4,3,1,2,0
0,296,4,0,3,1,2
0,299,4,0,3,1,2
0,304,4,1,2,3,0
0,305,2,1,3,0,4
0,306,3,4,1,2,0
0,308,4,3,1,0,2
0,310,0,4,2,1,3
0,313,1,3,2,0,4
0,316,2,3,1,4,0
0,317,1,4,3,0,2
0,318,0,4,3,2,1
0,320,0,3,2,1,4
0,322,2,0,3,4,1
0,327,3,0,2,4,1
0,328,4,3,2,0,1
0,329,2,4,0,1,3
0,332,1,4,3,0,2
0,333,3,4,2,1,0
0,336,4,1,2,3,0
0,338,4,2,0,3,1
0,340,0,4,3,1,2
0,341,0,3,2,1,4
0,344,2,3,0,1,4
0,348,4,3,1,0,2
0,350,0,2,1,3,4
0,351,0,4,3,2,1
0,353,0,3,2,1,4
0,354,3,2,1,0,4
0,355,2,0,1,4,3
0,356,1,4,0,2,3
0,357,4,3,0,2,1
0,358,1,4,3,0,2
0,359,1,4,2,0,3
0,361,2,1,3,0,4
0,363,1,2,4,0,3
0,365,2,1,3,4,0
0,366,0,3,4,2,1
0,367,4,2,1,0,3
0,368,2,0,3,1,4
0,371,3,1,0,2,4
0,377,4,1,2,0,3
0,379,0,3,4,2,1
0,380,4,0,2,1,3
0,381,1,2,4,3,0
0,382,2,1,0,3,4
0,383,4,3,2,0,1
0,384,4,0,2,1,3
0,389,1,4,3,0,2
0,390,3,4,1,0,2
0,396,3,0,1,4,2
0,398,3,1,0,4,2
0,400,3,2,0,1,4
0,404,1,2,3,4,0
0,406,2,3,0,1,4
0,409,0,2,1,4,3
0,413,4,3,0,2,1
0,417,2,4,3,1,0
